"ClipNumber","Dialogue","Speaker","Recipient","RecipientType","element_id","sentence_id"
1,"Well, last night was really emotional.","ShiiAnn","Camera","Camera",1,1
1,"Um, I got really choked up when they voted Kathy out.","ShiiAnn","Camera","Camera",1,2
1,"The smug, horrible Chaperan superior tribe pagonging all of us Mogo Mogo members, you know basically voting one after another out.","ShiiAnn","Camera","Camera",1,3
1,"I knew Kathy was going, and I just got really emotional because she was my rock out here.","ShiiAnn","Camera","Camera",1,4
1,"And she was my one true friend.","ShiiAnn","Camera","Camera",1,5
1,"And now that she's gone, I don't have anyone here.","ShiiAnn","Camera","Camera",1,6
1,"I've got no one.","ShiiAnn","Camera","Camera",1,7
1,"I know I'm slated next to go.","ShiiAnn","Rob","One Person",2,1
1,"Mh-hmm.","Rob","ShiiAnn","One Person",3,1
1,"And you know I have to play the game was hard as I can before I go.","ShiiAnn","Rob","One Person",4,1
1,"So, I'm just asking you straight up, you know, are you going to keep up with your original six, or are you going to be willing to look at other possibilities.","ShiiAnn","Rob","One Person",4,2
1,"Yeah like honestly, I'm going to stay with my plan.","Rob","ShiiAnn","One Person",5,1
1,"That's cool, you got to play your last card.","ShiiAnn","Rob","One Person",6,1
1,"Win immunity.","Rob","ShiiAnn","One Person",7,1
1,"I'm going to try to win immunity.","ShiiAnn","Rob","One Person",8,1
1,"I will.","ShiiAnn","Rob","One Person",8,2
1,"You've got to beat me, though, cause I need it just as much as you.","Rob","ShiiAnn","One Person",9,1
1,"I know I do, you know?","Rob","ShiiAnn","One Person",9,2
1,"I know you do.","ShiiAnn","Rob","One Person",10,1
1,"I'm extremely vulnerable right now and chances of me making it to the final two are slim.","ShiiAnn","Camera","Camera",11,1
1,"So, at this point, my best chances is to play as hard as I can, call everyone on their game and stir it up before I leave.","ShiiAnn","Camera","Camera",11,2
1,"If you make it to the final two, I'll be shocked.","ShiiAnn","Rob","One Person",12,1
1,"I know.","Rob","ShiiAnn","One Person",13,1
