ClipNumber,Speaker,Recipient,RecipientType,element_id,sentence_id,ColumnID,Text,Segment,WC,Clout
1,ShiiAnn,Camera,Camera,1,1,Dialogue,"Well, last night was really emotional.",1,6,40.06
1,ShiiAnn,Camera,Camera,1,2,Dialogue,"Um, I got really choked up when they voted Kathy out.",1,11,40.06
1,ShiiAnn,Camera,Camera,1,3,Dialogue,"The smug, horrible Chaperan superior tribe pagonging all of us Mogo Mogo members, you know basically voting one after another out.",1,21,99
1,ShiiAnn,Camera,Camera,1,4,Dialogue,"I knew Kathy was going, and I just got really emotional because she was my rock out here.",1,18,2.75
1,ShiiAnn,Camera,Camera,1,5,Dialogue,And she was my one true friend.,1,7,97.11
1,ShiiAnn,Camera,Camera,1,6,Dialogue,"And now that she's gone, I don't have anyone here.",1,10,40.06
1,ShiiAnn,Camera,Camera,1,7,Dialogue,I've got no one.,1,4,1
1,ShiiAnn,Rob,One Person,2,1,Dialogue,I know I'm slated next to go.,1,7,1
1,Rob,ShiiAnn,One Person,3,1,Dialogue,Mh-hmm.,1,1,40.06
1,ShiiAnn,Rob,One Person,4,1,Dialogue,And you know I have to play the game was hard as I can before I go.,1,17,12.77
1,ShiiAnn,Rob,One Person,4,2,Dialogue,"So, I'm just asking you straight up, you know, are you going to keep up with your original six, or are you going to be willing to look at other possibilities.",1,31,99
1,Rob,ShiiAnn,One Person,5,1,Dialogue,"Yeah like honestly, I'm going to stay with my plan.",1,10,1
1,ShiiAnn,Rob,One Person,6,1,Dialogue,"That's cool, you got to play your last card.",1,9,99
1,Rob,ShiiAnn,One Person,7,1,Dialogue,Win immunity.,1,2,40.06
1,ShiiAnn,Rob,One Person,8,1,Dialogue,I'm going to try to win immunity.,1,7,1
1,ShiiAnn,Rob,One Person,8,2,Dialogue,I will.,1,2,1
1,Rob,ShiiAnn,One Person,9,1,Dialogue,"You've got to beat me, though, cause I need it just as much as you.",1,15,77.41
1,Rob,ShiiAnn,One Person,9,2,Dialogue,"I know I do, you know?",1,6,40.06
1,ShiiAnn,Rob,One Person,10,1,Dialogue,I know you do.,1,4,99
1,ShiiAnn,Camera,Camera,11,1,Dialogue,I'm extremely vulnerable right now and chances of me making it to the final two are slim.,1,17,2.18
1,ShiiAnn,Camera,Camera,11,2,Dialogue,"So, at this point, my best chances is to play as hard as I can, call everyone on their game and stir it up before I leave.",1,27,20.91
1,ShiiAnn,Rob,One Person,12,1,Dialogue,"If you make it to the final two, I'll be shocked.",1,11,40.06
1,Rob,ShiiAnn,One Person,13,1,Dialogue,I know.,1,2,1
1,ShiiAnn,Rob,One Person,14,1,Dialogue,"With your strategy, current strategy.",1,5,99
1,ShiiAnn,Rob,One Person,14,2,Dialogue,"And I hope you do well, but, you know.",1,9,99
1,ShiiAnn,Rob,One Person,14,3,Dialogue,I'm wishing myself luck in the next immunity challenge.,1,9,1
1,Rob,Tribe,Group,15,1,Dialogue,She tried telling me what my strategy should be.,1,9,2.75
1,Alicia,Rob,One Person,16,1,Dialogue,Right.,1,1,40.06
1,Rob,Tribe,Group,17,1,Dialogue,"You need to watch out for this person, you need to watch out for this one.",1,16,99
1,Alicia,Rob,One Person,18,1,Dialogue,Here we go.,1,3,99
1,Rob,Tribe,Group,19,1,Dialogue,She's doing that.,1,3,99
1,Rob,Tribe,Group,19,2,Dialogue,Just with patient and listened to her.,1,7,97.11
1,Rob,Tribe,Group,19,3,Dialogue,"I was like ""all right, thanks for the info, ShiiAnn.""",1,10,3.95
1,Rob,Tribe,Group,19,4,Dialogue,"Just collectively as a group, we got to make sure she don't win immunity.",1,14,99
1,Rupert,Rob,One Person,20,1,Dialogue,"Hell yeah, that's the whole goal.",1,6,1
1,Rob,Tribe,Group,21,1,Dialogue,That's it.,1,2,40.06
1,Rob,Amber,One Person,22,1,Dialogue,Can it rain any more here?,1,6,40.06
1,Rob,Amber,One Person,22,2,Dialogue,"Look, there's a bump on it.",1,6,40.06
1,Amber,Rob,One Person,23,1,Dialogue,Oh yeah.,1,2,40.06
1,ShiiAnn,Tribe,Group,24,1,Dialogue,"Wow, it's a mask.",1,4,40.06
1,Amber,Tribe,Group,25,1,Dialogue,"It says ""a no-lose situation, this ones not a race.",1,10,1
1,Amber,Tribe,Group,25,2,Dialogue,Is everyone a winner?,1,4,99
1,Amber,Tribe,Group,25,3,Dialogue,Try not to lose face.,1,5,1
1,Amber,Tribe,Group,25,4,Dialogue,In touch with your own feelings?,1,6,99
1,Amber,Tribe,Group,25,5,Dialogue,What do your tribe mates think?,1,6,99
1,Amber,Tribe,Group,25,6,Dialogue,"If you're the last one standing, you'll decide what they eat and drink.""",1,13,99
1,ShiiAnn,Tribe,Group,26,1,Dialogue,So maybe you get to choose whether or not you want to share food?,1,14,40.06
1,Alicia,Tribe,Group,27,1,Dialogue,So maybe you choose what everybody eats?,1,7,99
1,Rupert,Tribe,Group,28,1,Dialogue,I want everybody to eat and drink.,1,7,40.06
1,Alicia,Camera,Camera,29,1,Dialogue,The rain doesn't let up.,1,5,1
1,Alicia,Camera,Camera,29,2,Dialogue,We can't fish in these conditions.,1,6,40.06
1,Alicia,Camera,Camera,29,3,Dialogue,We can't cook in these conditions.,1,6,40.06
